,Antisera,,A/SWINE/FRANCE/FINISTERE/2899/1982,A/SWINE/FRANCE/MORBIHAN/0070/2005,A/SWINE/FRANCE/COTES_DARMOR/0388/2009,A/SWINE/FRANCE/COTES_DARMOR/0186/2010,A/SWINE/FRANCE/65-150242/2015,A/SWINE/SCOTLAND/410440/1994,A/SWINE/FRANCE/COTES_DARMOR/0113/2006,A/SWINE/FRANCE/COTES_DARMOR/0214/2006,A/SWINE/FRANCE/22-130212/2013,A/SWINE/FRANCE/COTES_DARMOR/0190/2006,A/SWINE/FRANCE/COTES_DARMOR/0070/2010,A/SWINE/FRANCE/22-120067/2012,A/BRAZIL/11/1978,A/CHILE/1/1983,A/NEW_CALEDONIA/20/1999,A/SOLOMON_ISLANDS/3/2006,A/TAIWAN/1/1986,A/BEIJING/262/1995,A/CALIFORNIA/4/2009,A/SWINE/IOWA/1973,A/SWINE/MINNESOTA/02093/2008,A/SWINE/MINNESOTA/37866/1999,A/SWINE/KENTUCKY/02086/2008,A/SWINE/NEBRASKA/02013/2008,A/SWINE/NORTH_CAROLINA/02084/08,A/SWINE/OHIO/511445/2007,A/OHIO/9/2015,A/SWINE/FRANCE/MORBIHAN/0070/2005,A/SWINE/FRANCE/COTES_DARMOR/0388/2009,A/SWINE/FRANCE/COTES_DARMOR/0186/2010,A/SWINE/FRANCE/65-150242/2015
,,Clade,1C.1,1C.2.1,1C.2.1,1C.2.1,1C.2.4,1B.1.1,1B.1.2.3,1B.1.1,1B.1.2.3,1B.1.2.3,,,1B.1.1,1B.1.1,,1B.1.1,,,1A.3.3.2,1A.4,,,,,,,1A.3.3.3-c1,1C.2.1,1C.2.1,1C.2.1,1C.2.4
Antigen,Clade,Subtype,H1N1,H1N1,H1N1,H1N2,H1N2,H1N2,H1N2,H1N2,H1N2,H1N1,H1N1,H1N1,H1N1,H1N1,H1N1,H1N1,H1N1,H1N1,H1N1,H1N1,,,,,,,H1N1,H1N1,H1N1,H1N2,H1N2
A/SWINE/FRANCE/FINISTERE/2899/1982,1C.1,H1N1,4.51166946145657,5.180835125362,5.23078853392401,6.4996605650497,11.1506553871359,10.4110978106188,10.1510933862666,11.1785856751589,11.5726426776042,7.35898558212864,8.77323813572764,7.79915269989007,9.62433025106326,10.0119788685469,8.91517627569222,9.71618720092603,9.12974350876103,9.31177831491917,5.95573744429411,5.80850322973044,8.21900656094885,5.18522257975447,6.82722847069341,6.85307340691243,7.9373864970376,6.20884014123169,7.37933104952591,5.59627821621113,5.90018381839447,6.88219064611445,11.3248384460714
A/SWINE/FRANCE/COTES_DARMOR/0388/2009,1C.2.1,H1N1,5.71573724719608,2.86548364551396,4.45394678181215,5.30334271243381,7.13983902118061,8.31076776780282,9.27031642081715,8.94639459253677,10.4392264997275,6.94195031164088,7.58350989761184,7.53924465468826,8.18695591196737,8.40520892786277,8.28507387420083,9.9991810847529,8.65372518752129,8.22236364252924,4.38305550387046,5.42198502151037,5.85998722498755,6.07686174068089,5.27608039399081,4.88406610543321,6.14217335737229,4.86421460981625,8.7377134051048,2.69500838172012,2.70163811143247,3.72079821335228,6.81204553734894
A/SWINE/FRANCE/COTES_DARMOR/0186/2010,1C.2.1,H1N2,6.42766689676452,3.34916216480038,4.90927703943946,5.57830874634918,7.16548381191514,8.77066351376623,9.71815923032163,9.32750445526717,10.7714796394232,7.42401075892107,7.99011088077898,7.9936522129537,8.77811315610884,8.98513448223249,9.03779194854634,10.7963789345103,9.42165810755715,8.90319677309021,5.23257667508066,6.25778447420387,6.44433858601868,7.01471804857542,6.04034569943564,5.64545822122159,6.8954765323949,5.71768510592646,9.63994891047383,3.28620918958212,3.15336720106545,4.12738220682854,6.69141965850703
A/SWINE/FRANCE/65-150242/2015,1C.2.4,H1N2,8.03754130401045,4.91371804094867,6.50117099581973,6.72952725532901,3.58444114981847,6.60194541056118,8.92160895712776,7.05445248096445,9.8001802406928,7.83793734819315,7.5299619689808,8.422000229635,7.12748679606373,7.07129606951603,7.84004000861492,9.96401263310262,8.23470911451514,7.39803447068712,4.96660225949533,6.42965583512814,4.60971297294311,7.6896145381941,5.24185621039865,4.63841912101999,5.26513580699934,5.28889778345697,9.82964563000963,4.0662968450467,3.88083139306153,3.55396963546975,2.66171480636937
A/SWINE/SCOTLAND/410440/1994,1B.1.1,H1N2,8.61494590527953,7.10332124455937,6.94594776090724,5.85869086261189,4.5168481133021,4.46765401464294,4.84849747135118,3.73304632338211,4.25338281093453,5.87823210156349,4.43259830540433,5.89543761032986,5.66241142038489,5.67580418476856,7.61655466694883,9.08004825367436,7.96729967945565,6.71446887285301,8.22441447322105,8.0391231486044,5.9873777725328,9.99296665361669,7.3108459012577,7.54793280503656,7.85080883718713,8.31689193524818,10.5636108551925,7.10922222607649,6.80240251260019,5.93471905234089,6.19418742112119
A/SWINE/FRANCE/COTES_DARMOR/0113/2006,1B.1.2.3,H1N2,5.83100261171865,5.618255527718,5.14283714577269,4.58356821984831,5.2596573530876,1.59178201822867,1.98989028052539,1.67042132882734,2.96468951972404,3.30497504710393,1.82189137229227,3.44920793242269,1.96107194731752,2.18883893229775,3.80612602412715,5.187908955583,4.13612907804667,2.9744933826897,5.54024261839108,4.84731968711813,3.40179697439455,6.67129168627223,4.35665104087449,4.87297793286458,4.92826427474727,5.45581034763116,6.75661892767867,5.50422993213396,5.47608998748572,4.54784782687657,7.01634865041407
A/SWINE/FRANCE/COTES_DARMOR/0214/2006,1B.1.1,H1N2,8.37693139264706,6.63853346285338,6.94966802261457,6.28925655443165,2.50275073038113,2.98953531823254,5.23288109079975,2.50930585957255,5.33504599958994,6.16127941508344,4.74419032004544,6.40658489373781,4.41698274980205,4.23195062498586,6.29211953904472,8.07760556573589,6.64842996127326,5.3497248062264,6.77398923893816,6.97543772259082,4.25858191320676,8.85594592433057,5.85861033147391,5.93584701899159,5.95687102610951,6.81258227387073,9.56123106078412,6.24655367331049,6.02790024912962,4.93028348562878,4.40981912824873
A/SWINE/FRANCE/22-130212/2013,1B.1.2.3,H1N2,7.7842811892122,7.02863005285403,6.39946148373354,5.22076380069882,5.99241737612059,4.48679317973457,3.48646192214517,3.81602737184552,2.60795181122799,4.77845820316899,3.36891567635206,4.60928232252839,5.30354132790204,5.45602157175378,7.13212862251659,8.2524598710192,7.44473552115209,6.3263929095295,8.23663336807569,7.64157544114296,6.20310646412086,9.52880066223965,7.24492841846862,7.6570270275719,7.99268370351811,8.28859393640215,9.76893302731303,7.23065570473312,6.9897651520941,6.23303475578443,7.72049377105301
