,,,,A/CALIFORNIA/4/2009,A/MICHIGAN/45/2015,A/BRISBANE/02/2018,A/OHIO/9/2015,A/BRAZIL/11/1978,A/MICHIGAN/383/2018,A/HUNAN/42443/2015,A/NETHERLANDS/3315/2016,A/PAVIA/65/2016,A/SWINE/HASELUNNE/IDT2617/2003,A/WSV/1832/2000,A/JENA/MSV-VI5258/2009,A/SWINE/NETHERLANDS/AR647/2015,A/SWINE/GERMANY/AR2749/2015
Strain,,,,1A.3.3.2*,1A.3.3.2*,1A.3.3.2*,1A.3.3.3-c1,1B.1.1,1B.2.1**,1C.2.2**,1C.2.1**,1C.2.1,1C.2.2 ,1B,1A.3.3.2,1.B.1.2.1,1A.3.3.2
,,,,H1N1,H1N1,H1N1,H1N1,H1N1,H1N2,H1N1,H1N1,H1N1,H1N1,,,H1N1,H1N2
,Clade,Subtype,Year,,,,,,,,,,,,,,
A/SWINE/SPAIN/45690-9/2018,1A.3.3.2,,,2.587227831,2.365293277,1.877044997,2.775775924,7.092709196,6.04180602,4.219055984,3.267333173,3.27362323,2.006977995,1.80312007,2.275091987,1.787427777,3.435303214
A/SWINE/GERMANY/AR2279/2016,1A.3.3.2,,,2.403966442,3.500799658,3.95981435,5.269760118,5.451971087,7.48932744,3.11320684,3.331957725,2.634818447,3.363187266,3.337935435,2.256525764,4.504922287,1.379831785
A/SWINE/REPUBLIC OF IRELAND/AR6853/2016,1A.3.3.2,,,2.667459655,3.765384649,4.397784502,6.08259497,5.662728786,8.07736099,2.884931385,3.690686015,3.481768481,3.806827178,4.39654856,2.764238269,5.556609199,1.455567182
A/SWINE/GERMANY/BAK36/2017,1A.3.3.2,,,5.77030245,6.435845373,6.573438356,5.730739351,4.491275848,7.051609015,5.777689277,5.109105801,3.233064768,5.870775868,3.92469593,5.081429843,4.769286691,5.198567864
A/SWINE/DENMARK/SIR1570/2017,1A.3.3.2,,,3.213749636,4.361466079,4.592588975,6.163574925,7.108105546,8.821552139,4.896732872,4.922623686,4.036824219,4.371665649,4.045748579,3.441695204,4.960915517,2.483435759
A/CALIFORNIA/4/2009,1A.3.3.2*,,,1.094006681,0.624616874,1.358446559,3.783490628,6.423145287,6.258738974,2.070071698,2.106474993,3.235363367,0.846601191,3.113001654,1.050424755,3.764562792,2.103239843
A/MICHIGAN/45/2015,1A.3.3.2*,,,3.11222296,2.896088468,3.573303918,6.011420675,7.440409918,7.752694244,2.714048028,3.844059455,5.314890516,3.382829472,5.672542128,3.476308519,6.344438956,3.511476041
